hap_class,hap_id
6,FRCL052201_2_avrpm17_cds
6,FRCL052202_2_avrpm17_cds
6,FRCL052302_2_avrpm17_cds
6,ITBA022213_1_avrpm17_cds
6,ITBA022222_2_avrpm17_cds
6,ITBO052301_2_avrpm17_cds
6,ITBO062201_1_avrpm17_cds
6,ITMA052201_2_avrpm17_cds
6,ITSA052301_2_avrpm17_cds
6,ITSA052303_2_avrpm17_cds
7,CHZR022201_1_avrpm17_cds
7,DEDO072301_1_avrpm17_cds
7,DEDO072302_1_avrpm17_cds
7,DEHA062201_1_avrpm17_cds
7,FRBE052201_1_avrpm17_cds
7,NCSU_TR_01_17_1_avrpm17_cds
7,NCSU_TR_04_01_1_avrpm17_cds
7,NCSU_TR_04_08_1_avrpm17_cds
7,NCSU_TR_06_14_1_avrpm17_cds
7,NCSU_TR_06_17_1_avrpm17_cds
7,PLKO082242_1_avrpm17_cds
7,PLNA082249_1_avrpm17_cds
8,CHZR042301_2_avrpm17_cds
9,CZUH042202_2_avrpm17_cds
9,DEGO062303_1_avrpm17_cds
9,DEHO062211_1_avrpm17_cds
9,FRA_MERCIA_COKER_98_25_1_avrpm17_cds
9,GBR_JIW48_2_avrpm17_cds
9,HUMV062323_1_avrpm17_cds
9,LTKD062215_1_avrpm17_cds
9,NCSU_EG_02_05_1_avrpm17_cds
9,NCSU_EG_04_16_1_avrpm17_cds
9,NCSU_EG_06_18_1_avrpm17_cds
9,NCSU_EG_08_07_2_avrpm17_cds
9,NCSU_RU_06_11_1_avrpm17_cds
9,NCSU_TR_01_01_2_avrpm17_cds
9,NCSU_TR_03_11_2_avrpm17_cds
9,NCSU_TR_04_09_1_avrpm17_cds
9,NCSU_TR_04_24_1_avrpm17_cds
9,PLCZ072305_1_avrpm17_cds
9,PLRA092321_1_avrpm17_cds
9,ROLV052209_2_avrpm17_cds
9,TRSA062310_1_avrpm17_cds
10,ESMA052302_2_avrpm17_cds
11,FRLO052302_2_avrpm17_cds
12,GBR_JIW11_1_avrpm17_cds
13,ITLI052301_1_avrpm17_cds
14,NCSU_EG_02_05_2_avrpm17_cds
14,NCSU_EG_08_07_1_avrpm17_cds
15,NCSU_EG_04_16_2_avrpm17_cds
15,NCSU_EG_06_18_2_avrpm17_cds
16,NCSU_RU_02_11_2_avrpm17_cds
17,NCSU_RU_05_08_2_avrpm17_cds
17,NCSU_RU_05_19_1_avrpm17_cds
18,NCSU_RU_06_11_2_avrpm17_cds
19,PLSK082271_2_avrpm17_cds
20,TUR_1c_2_avrpm17_cds
