"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"FRMP052201",-539.6361811204,-193.385156432453,43.3846428946263,42.0144973964364,84.0777577793115,-77.3957578464761,-48.8091773505731,32.7546147872893,-31.5641445667767,58.2541170000939
"FRMP052202",-539.6361811204,-193.385156432453,43.3846428946263,42.0144973964364,84.0777577793115,-77.395757846476,-48.8091773505731,32.7546147872891,-31.5641445667766,58.254117000094
"FRMP052203",-539.6361811204,-193.385156432453,43.3846428946263,42.0144973964364,84.0777577793115,-77.3957578464759,-48.8091773505729,32.7546147872891,-31.5641445667765,58.254117000094
"FRMP052204",-539.6361811204,-193.385156432453,43.3846428946263,42.0144973964364,84.0777577793115,-77.3957578464759,-48.8091773505729,32.7546147872891,-31.5641445667765,58.254117000094
"FRMP052206",-539.6361811204,-193.385156432453,43.3846428946263,42.0144973964365,84.0777577793115,-77.395757846476,-48.8091773505729,32.7546147872892,-31.5641445667767,58.2541170000939
"FRMU052302",-647.635693282625,-103.459306229418,-8.35746332149584,-40.7097531647314,18.1677176364903,-6.04083155362156,-25.51951836428,-15.338120220577,-28.1596805972837,19.2265602676522
"FRMU052303",-647.635693282625,-103.459306229418,-8.35746332149574,-40.7097531647315,18.1677176364904,-6.04083155362164,-25.5195183642803,-15.338120220577,-28.1596805972837,19.2265602676522
"FRNE052204",-720.117203340468,-150.044552121178,-42.0948114484286,0.463077518633822,47.4596360814108,-14.054541293554,-27.6489774061458,-45.4647275499029,6.14830918986491,29.8776102144433
"FRNE052205",-720.117203340468,-150.044552121179,-42.0948114484286,0.463077518633846,47.4596360814108,-14.0545412935541,-27.6489774061459,-45.4647275499029,6.14830918986475,29.8776102144431
"FRNE052208",-720.117203340468,-150.044552121179,-42.0948114484286,0.463077518633749,47.4596360814108,-14.054541293554,-27.6489774061457,-45.4647275499029,6.14830918986469,29.8776102144429
"FRRI052203",-499.5405606249,-152.664704485753,55.4240327868897,13.0059525470788,64.9701644037459,-56.0574001357804,-44.4800014614017,61.974976787624,-18.6568255426335,10.9993686707017
"FRRI052204",-499.540560624901,-152.664704485753,55.4240327868897,13.0059525470788,64.9701644037459,-56.0574001357804,-44.4800014614018,61.974976787624,-18.6568255426335,10.9993686707015
"FRRN052301",-650.697571772988,-196.215382098248,3.5706878430386,47.26617311106,101.803829135368,-80.8061947499166,-64.7342324004408,-22.3955569651937,17.9110942889575,22.6805304699583
"FRRN052302",-650.697571772988,-196.215382098248,3.57068784303866,47.2661731110601,101.803829135368,-80.8061947499166,-64.7342324004408,-22.3955569651938,17.9110942889573,22.6805304699582
"FRSA042201",-535.282328312111,-135.339247638095,40.1192533157497,-5.78697795116107,51.7031022216987,-50.7549198134485,-42.8760429533949,46.6580012669641,-22.9568376877175,3.94524695517058
"FRSA042202",-535.282328312111,-135.339247638095,40.1192533157497,-5.7869779511611,51.7031022216987,-50.7549198134485,-42.876042953395,46.6580012669642,-22.9568376877174,3.94524695517065
"FRSA042203",-535.282328312111,-135.339247638095,40.1192533157497,-5.78697795116111,51.7031022216987,-50.7549198134485,-42.876042953395,46.6580012669641,-22.9568376877174,3.94524695517069
"FRSA042204",-535.282328312111,-135.339247638095,40.1192533157496,-5.78697795116113,51.7031022216987,-50.7549198134485,-42.8760429533951,46.6580012669643,-22.9568376877174,3.94524695517069
"FRSB042201",-690.765983898127,-214.074423437553,-5.05190636066431,66.6459419521755,122.351768587594,-75.4597194784864,-86.9897824655012,-48.9390659852254,34.7970278684465,25.1742517307407
"FRSB042203",-690.765983898127,-214.074423437553,-5.05190636066438,66.6459419521756,122.351768587594,-75.4597194784866,-86.9897824655012,-48.9390659852252,34.7970278684463,25.1742517307406
"FRSB042204",-690.765983898127,-214.074423437553,-5.05190636066437,66.6459419521755,122.351768587594,-75.4597194784865,-86.9897824655011,-48.9390659852253,34.7970278684465,25.1742517307407
"FRSD062201",-609.838938385714,-161.135622879853,9.11098371443754,4.41277212109758,52.8578786822753,-60.177854210189,-40.7817982984766,4.24906851561131,-36.598103648966,35.1835294699045
"FRSD062202",-609.838938385714,-161.135622879853,9.11098371443754,4.41277212109759,52.8578786822753,-60.177854210189,-40.7817982984766,4.24906851561146,-36.5981036489661,35.1835294699044
"FRSD062203",-609.838938385714,-161.135622879853,9.11098371443761,4.41277212109755,52.8578786822753,-60.177854210189,-40.7817982984768,4.24906851561145,-36.5981036489661,35.1835294699046
"FRSD062204",-609.838938385714,-161.135622879853,9.11098371443758,4.41277212109762,52.8578786822753,-60.1778542101891,-40.7817982984768,4.24906851561144,-36.5981036489661,35.1835294699045
"FRSG052301",-573.138644521816,-114.898491308877,26.2822873755645,-24.947079144718,37.9396250272167,-41.3085510012411,-34.6209399373673,30.172127829934,-18.7183992861282,-10.0533354009437
"FRSG052302",-573.138644521816,-114.898491308877,26.2822873755645,-24.947079144718,37.9396250272167,-41.3085510012411,-34.6209399373673,30.1721278299341,-18.7183992861282,-10.0533354009436
"GRTH052302",123.537784763576,668.472504328943,288.038624139703,212.899327485894,21.5468797368135,98.736410364941,154.270823519938,24.3101072758722,126.052798413068,-92.7411609026595
"GRTH052303",123.537784763576,668.472504328943,288.038624139703,212.899327485894,21.5468797368135,98.736410364941,154.270823519938,24.3101072758721,126.052798413068,-92.7411609026593
"GRTH052305",123.537784763576,668.472504328943,288.038624139703,212.899327485894,21.5468797368136,98.736410364941,154.270823519938,24.3101072758723,126.052798413068,-92.7411609026594
